,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,buritizeiro,-17.35,-44.96,62.56,52,0,1.61,BR,1595467926
279,engenheiro beltrao,-23.8,-52.27,70.0,63,16,4.0,BR,1595467926
280,saldanha,-33.01,17.94,50.0,87,0,3.36,ZA,1595467926
281,sur,22.57,59.53,84.52,70,58,14.54,OM,1595467926
282,sao filipe,14.9,-24.5,79.21,80,56,4.34,CV,1595467926
283,araouane,18.9,-3.53,95.67,29,0,7.94,ML,1595467926
284,galesong,-5.32,119.37,84.2,54,20,4.7,ID,1595467926
285,oistins,13.07,-59.53,82.4,69,40,17.22,BB,1595467794
286,dawlatabad,36.41,64.91,85.03,14,0,4.32,AF,1595467926
287,high level,58.52,-117.14,69.8,56,40,10.29,CA,1595467926
288,vostok,46.49,135.88,75.0,71,99,2.44,RU,1595467926
289,campina grande do sul,-25.31,-49.06,62.6,72,100,2.24,BR,1595467926
290,saint-philippe,-21.36,55.77,66.2,59,90,5.82,RE,1595467926
291,shahrud,36.42,54.98,71.2,54,0,7.14,IR,1595467926
292,portland,45.52,-122.68,82.0,42,1,10.29,US,1595467832
293,sokolo,14.73,-6.12,81.46,68,20,12.73,ML,1595467927
294,maracaibo,10.63,-71.64,82.13,76,84,9.73,VE,1595467695
295,leshukonskoye,64.9,45.76,65.01,78,25,9.93,RU,1595467927
296,iquique,-20.22,-70.14,60.8,72,90,10.29,CL,1595467927
297,grand gaube,-20.01,57.66,66.99,69,52,1.99,MU,1595467927
298,maceio,-9.67,-35.74,71.6,94,75,4.7,BR,1595467927
299,rancho palos verdes,33.74,-118.39,69.01,72,20,16.11,US,1595467844
300,russellville,35.28,-93.13,80.6,78,1,2.75,US,1595467927
301,turan,16.07,108.22,87.8,66,39,1.12,VN,1595467755
302,chapais,49.78,-74.85,59.0,93,90,5.82,CA,1595467927
303,karachi,24.91,67.08,86.0,70,40,9.17,PK,1595467877
304,kovur,14.48,79.98,83.64,73,100,7.49,IN,1595467927
305,half moon bay,37.46,-122.43,71.01,87,90,6.93,US,1595467813
